[2026-03-15 02:12:32] CraftyRafty Incident Response System Started
[2026-03-15 02:12:33] Port Scan detected from 192.168.65.1
[2026-03-15 02:12:33] Port Scan detected from 192.168.65.1
[2026-03-15 02:12:33] Port Scan detected from 192.168.65.1
[2026-03-15 02:12:33] Port Scan detected from 192.168.65.1
[2026-03-15 02:12:33] Port Scan detected from 192.168.65.1
[2026-03-15 02:12:33] Port Scan detected from 192.168.65.1
[2026-03-15 02:12:33] Port Scan detected from 192.168.65.1
[2026-03-15 02:12:33] Port Scan detected from 192.168.65.1
[2026-03-15 02:12:33] Port Scan detected from 192.168.65.1
[2026-03-15 02:12:33] Port Scan detected from 192.168.65.1
[2026-03-15 02:12:33] Port Scan detected from 192.168.65.1
[2026-03-15 02:12:33] Port Scan detected from 192.168.65.1
[2026-03-15 02:12:33] Port Scan detected from 192.168.65.1
[2026-03-15 02:12:33] Port Scan detected from 192.168.65.1
[2026-03-15 02:12:33] Port Scan detected from 192.168.65.1
[2026-03-15 02:12:33] Port Scan detected from 192.168.65.1
[2026-03-15 02:12:33] Port Scan detected from 192.168.65.1
[2026-03-15 02:12:33] Port Scan detected from 192.168.65.1
[2026-03-15 02:12:33] Port Scan detected from 192.168.65.1
[2026-03-15 02:12:33] Port Scan detected from 192.168.65.1
[2026-03-15 02:12:33] Port Scan detected from 192.168.65.1
[2026-03-15 02:12:33] Port Scan detected from 192.168.65.1
[2026-03-15 02:12:33] Port Scan detected from 192.168.65.1
[2026-03-15 02:12:33] Port Scan detected from 192.168.65.1
[2026-03-15 02:12:33] Port Scan detected from 192.168.65.1
[2026-03-15 02:12:33] Port Scan detected from 192.168.65.1
[2026-03-15 02:12:33] Port Scan detected from 192.168.65.1
[2026-03-15 02:12:33] Port Scan detected from 192.168.65.1
[2026-03-15 02:12:33] Port Scan detected from 192.168.65.1
[2026-03-15 02:12:33] Port Scan detected from 192.168.65.1
[2026-03-15 02:12:33] Port Scan detected from 192.168.65.1
[2026-03-15 02:12:33] Port Scan detected from 192.168.65.1
[2026-03-15 02:12:33] Port Scan detected from 192.168.65.1
[2026-03-15 02:12:33] Port Scan detected from 192.168.65.1
[2026-03-15 02:12:33] Port Scan detected from 192.168.65.1
[2026-03-15 02:12:33] Port Scan detected from 192.168.65.1
[2026-03-15 02:12:33] Port Scan detected from 192.168.65.1
[2026-03-15 02:12:33] Port Scan detected from 192.168.65.1
[2026-03-15 02:12:33] Port Scan detected from 192.168.65.1
[2026-03-15 02:12:33] Port Scan detected from 192.168.65.1
[2026-03-15 02:12:33] Port Scan detected from 192.168.65.1
[2026-03-15 02:12:33] Port Scan detected from 192.168.65.1
[2026-03-15 02:12:33] Port Scan detected from 192.168.65.1
[2026-03-15 02:12:33] Port Scan detected from 192.168.65.1
[2026-03-15 02:12:33] Port Scan detected from 192.168.65.1
[2026-03-15 02:12:33] Port Scan detected from 192.168.65.1
[2026-03-15 02:12:33] Port Scan detected from 192.168.65.1
[2026-03-15 02:12:33] Port Scan detected from 192.168.65.1
[2026-03-15 02:12:33] Port Scan detected from 192.168.65.1
[2026-03-15 02:12:33] Port Scan detected from 192.168.65.1
[2026-03-15 02:12:33] Port Scan detected from 192.168.65.1
[2026-03-15 02:12:33] Port Scan detected from 192.168.65.1
[2026-03-15 02:12:33] Port Scan detected from 192.168.65.1
[2026-03-15 02:12:33] Port Scan detected from 192.168.65.1
[2026-03-15 02:12:33] Port Scan detected from 192.168.65.1
[2026-03-15 02:12:33] Port Scan detected from 192.168.65.1
[2026-03-15 02:12:33] Port Scan detected from 192.168.65.1
[2026-03-15 02:12:33] Port Scan detected from 192.168.65.1
[2026-03-15 02:12:33] Port Scan detected from 192.168.65.1
[2026-03-15 02:12:33] Port Scan detected from 192.168.65.1
